source_article,overlap_count_top20
593,0
993,1
14,0
542,2
12,2
173,0
362,1
194,0
460,0
189,1
349,0
316,0
162,0
409,0
943,0
871,1
844,0
977,0
930,0
695,1
730,0
586,0
310,0
131,1
50,0
962,1
359,0
788,1
898,0
270,0
302,0
785,0
667,1
528,0
693,0
887,1
108,1
151,0
485,0
645,3
124,0
221,0
43,2
164,1
692,0
865,0
400,2
680,0
33,1
813,0
468,0
373,3
880,0
18,0
502,0
486,1
521,0
205,2
732,0
911,0
609,1
278,0
202,0
805,4
111,0
939,1
720,0
29,1
1042,0
679,0
382,0
651,0
20,0
57,0
109,1
68,4
740,0
1048,1
146,1
213,0
1014,0
933,1
1050,0
299,0
353,2
237,1
517,0
855,1
583,0
437,2
336,0
508,0
295,0
764,1
727,1
626,0
142,0
563,2
684,1
266,0
759,0
236,0
404,1
600,0
861,0
955,0
903,0
678,3
761,1
682,0
951,2
751,1
763,0
891,2
232,0
681,0
495,0
132,1
686,1
981,0
239,0
1008,1
793,0
455,1
444,1
634,1
766,0
1017,1
705,0
1038,2
996,1
244,0
809,0
158,1
74,0
53,1
268,1
957,0
479,2
422,0
668,0
525,2
9,1
510,0
100,0
110,2
882,1
653,0
1044,2
968,3
965,0
632,0
0,0
1047,0
323,1
415,0
617,1
729,1
564,1
553,0
812,3
412,0
240,0
610,1
98,0
116,0
480,2
143,1
427,1
482,0
744,0
80,0
475,0
616,0
1028,1
868,0
369,0
462,0
491,0
241,1
64,0
191,1
833,0
193,1
28,1
723,0
470,1
315,0
215,1
1016,1
138,0
2,0
16,0
101,0
210,1
379,0
1025,0
547,1
120,0
348,0
40,0
990,1
15,0
1024,1
329,0
795,0
107,1
260,0
8,1
975,0
32,0
125,0
878,0
559,0
846,0
967,0
749,1
440,2
313,1
658,0
51,1
477,0
1035,1
465,0
448,0
557,0
39,0
288,1
65,0
251,0
273,0
103,0
1018,0
986,0
969,2
34,0
622,1
825,0
26,0
184,0
113,2
76,0
78,0
314,0
195,1
647,0
864,0
366,1
821,1
607,3
464,1
1000,3
492,0
1015,0
524,0
1006,1
230,0
399,0
429,0
474,1
515,2
949,3
884,3
760,0
330,2
725,3
181,0
906,0
117,3
411,0
721,0
724,0
935,0
102,0
36,1
263,2
857,1
136,1
303,0
115,2
876,0
585,0
381,0
522,1
544,1
428,1
588,0
858,0
283,0
30,0
936,0
355,0
130,1
932,1
224,2
258,0
599,0
569,0
948,1
89,0
62,1
389,2
636,2
252,0
134,0
225,0
54,1
758,1
96,0
59,1
500,2
862,0
383,1
984,0
176,0
284,0
463,2
375,2
961,0
1004,2
112,1
1030,0
188,2
430,0
25,0
473,1
973,0
77,0
714,1
416,0
941,2
985,1
48,0
631,0
58,2
644,0
87,0
60,0
800,0
351,1
940,0
420,1
376,0
974,0
256,0
504,0
534,1
499,0
947,0
677,0
618,0
665,0
395,0
223,0
958,1
398,0
606,0
234,0
659,1
367,0
778,2
324,0
641,1
364,0
722,1
82,4
352,0
298,0
656,0
843,0
670,1
81,1
892,0
337,0
92,0
153,0
311,1
784,0
426,1
350,0
443,2
152,0
253,0
768,0
346,1
277,1
4,0
910,0
122,1
997,0
735,0
417,0
669,0
673,1
250,1
494,1
715,1
157,0
952,0
356,0
896,1
291,0
532,2
905,0
339,0
928,0
347,0
782,0
701,0
781,2
566,1
926,0
757,0
959,0
233,3
1043,0
390,0
853,3
254,1
919,1
384,1
319,0
363,0
446,0
870,2
675,0
297,0
662,1
145,0
567,0
881,1
183,0
655,0
555,1
708,1
575,1
972,1
