source_article,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20
1430.0,1226.0,1360.0,428.0,1060.0,1338.0,1061.0,1366.0,367.0,319.0,1436.0,1160.0,1351.0,1277.0,32.0,1427.0,76.0,1368.0,1163.0,861.0,1361.0
1314.0,1176.0,1274.0,376.0,1160.0,730.0,1338.0,1351.0,1427.0,1185.0,1432.0,647.0,670.0,1429.0,470.0,651.0,977.0,1172.0,1360.0,1174.0,1329.0
1429.0,29.0,1101.0,1293.0,1172.0,43.0,1360.0,800.0,76.0,1431.0,969.0,12.0,1338.0,109.0,729.0,720.0,213.0,1423.0,1299.0,943.0,1160.0
1338.0,1429.0,1172.0,1162.0,1427.0,12.0,1351.0,1276.0,29.0,1101.0,1314.0,1360.0,1436.0,1160.0,1368.0,1293.0,302.0,1367.0,43.0,665.0,1423.0
1276.0,1172.0,1427.0,362.0,1360.0,43.0,1346.0,1101.0,1335.0,555.0,1429.0,29.0,1338.0,109.0,1386.0,1351.0,302.0,1366.0,1185.0,1423.0,939.0
1432.0,557.0,1160.0,1314.0,1429.0,1397.0,1293.0,1351.0,1171.0,1172.0,833.0,1338.0,324.0,861.0,1398.0,34.0,1162.0,1433.0,1274.0,193.0,1364.0
593.0,600.0,369.0,812.0,464.0,542.0,795.0,764.0,1042.0,151.0,189.0,477.0,125.0,239.0,1050.0,729.0,1025.0,124.0,143.0,107.0,1017.0
1185.0,1174.0,1429.0,1427.0,1276.0,1163.0,1340.0,1172.0,1314.0,1160.0,221.0,659.0,1338.0,500.0,939.0,1293.0,1351.0,1330.0,670.0,1360.0,1364.0
993.0,389.0,678.0,205.0,74.0,563.0,948.0,949.0,162.0,375.0,500.0,40.0,1048.0,986.0,319.0,881.0,1190.0,420.0,486.0,720.0,260.0
14.0,1160.0,1360.0,302.0,943.0,1429.0,658.0,853.0,1163.0,969.0,1436.0,1172.0,1186.0,1198.0,665.0,729.0,379.0,1351.0,1174.0,110.0,310.0
1395.0,1393.0,1343.0,1293.0,1428.0,1176.0,359.0,465.0,1174.0,1160.0,1330.0,1192.0,1429.0,1254.0,1391.0,813.0,1317.0,1350.0,1431.0,557.0,1364.0
1170.0,1171.0,422.0,1172.0,313.0,284.0,1431.0,411.0,1149.0,617.0,43.0,1184.0,1429.0,40.0,1016.0,26.0,68.0,1336.0,33.0,1398.0,1395.0
542.0,855.0,764.0,68.0,240.0,812.0,430.0,1050.0,473.0,593.0,1068.0,1197.0,1067.0,1199.0,176.0,444.0,975.0,110.0,189.0,1052.0,1164.0
12.0,29.0,1101.0,969.0,1172.0,43.0,729.0,1162.0,682.0,1429.0,800.0,241.0,316.0,665.0,1423.0,464.0,302.0,943.0,616.0,1338.0,76.0
173.0,936.0,1159.0,1338.0,1260.0,356.0,939.0,528.0,1397.0,906.0,1261.0,1314.0,1188.0,567.0,364.0,1197.0,429.0,1067.0,1163.0,1185.0,723.0
1320.0,1328.0,656.0,1152.0,1271.0,152.0,1356.0,1160.0,1366.0,319.0,1158.0,1362.0,1186.0,382.0,1219.0,766.0,1427.0,1351.0,1406.0,475.0,225.0
