source_article,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20
1430.0,1429.0,1427.0,1330.0,1293.0,1431.0,1436.0,1162.0,1364.0,1338.0,1185.0,1351.0,1360.0,1160.0,1368.0,1393.0,43.0,1314.0,1172.0,1276.0,1398.0
1314.0,1429.0,1427.0,1160.0,1274.0,1330.0,1185.0,1338.0,1431.0,1293.0,1351.0,1162.0,1176.0,1364.0,1393.0,1432.0,1436.0,1172.0,1354.0,1368.0,1276.0
1429.0,1293.0,1431.0,43.0,1427.0,1172.0,1330.0,29.0,1162.0,1185.0,1170.0,1436.0,1160.0,1338.0,1351.0,1364.0,1314.0,1354.0,1393.0,1360.0,1343.0
1338.0,1429.0,1427.0,1293.0,1162.0,1314.0,1172.0,1431.0,1436.0,1330.0,1351.0,1364.0,43.0,1160.0,1276.0,1185.0,1368.0,1305.0,29.0,1354.0,1430.0
1276.0,1429.0,1427.0,1330.0,1293.0,1172.0,43.0,1364.0,1185.0,1162.0,1431.0,1351.0,1338.0,1436.0,1314.0,1354.0,1170.0,29.0,1368.0,1305.0,1360.0
1432.0,1429.0,1293.0,1314.0,1160.0,1431.0,1351.0,1162.0,1364.0,1393.0,1170.0,1172.0,1436.0,1398.0,1338.0,1330.0,1427.0,1185.0,1354.0,1171.0,1304.0
593.0,600.0,1330.0,1305.0,151.0,812.0,369.0,542.0,1052.0,1431.0,1336.0,124.0,795.0,1364.0,1017.0,1162.0,1025.0,729.0,20.0,1164.0,125.0
1185.0,1429.0,1427.0,1330.0,1293.0,1314.0,1364.0,1431.0,1393.0,1172.0,1276.0,1160.0,1174.0,1351.0,1163.0,1436.0,1354.0,1162.0,1338.0,43.0,1368.0
993.0,1393.0,43.0,1170.0,1276.0,1427.0,1364.0,1293.0,260.0,162.0,74.0,1431.0,1025.0,409.0,486.0,1048.0,20.0,205.0,1305.0,1053.0,1336.0
14.0,1429.0,1160.0,1330.0,1293.0,1436.0,1162.0,1427.0,1393.0,1172.0,43.0,1351.0,1170.0,1431.0,1364.0,1185.0,1368.0,1163.0,1360.0,1314.0,943.0
1395.0,1429.0,1393.0,1293.0,1330.0,1431.0,1170.0,1343.0,1364.0,1162.0,1160.0,1185.0,1391.0,1314.0,1172.0,1351.0,1427.0,1305.0,1176.0,1174.0,1436.0
1170.0,1429.0,1431.0,1172.0,1171.0,1330.0,1293.0,1427.0,43.0,1364.0,1436.0,1351.0,1398.0,1354.0,1336.0,1052.0,1393.0,1162.0,1160.0,1185.0,1276.0
542.0,1170.0,1330.0,1052.0,1165.0,812.0,1431.0,1164.0,1429.0,1172.0,1436.0,240.0,1050.0,593.0,68.0,855.0,1276.0,1162.0,1351.0,1053.0,1160.0
12.0,1429.0,1162.0,43.0,1172.0,1293.0,29.0,1330.0,1305.0,1431.0,1338.0,1436.0,1427.0,969.0,241.0,1276.0,1423.0,729.0,1364.0,1367.0,943.0
173.0,1293.0,1314.0,1429.0,1185.0,1338.0,1162.0,1330.0,1052.0,1436.0,1172.0,1351.0,1170.0,1364.0,1393.0,1427.0,1163.0,1432.0,1276.0,1160.0,1431.0
1320.0,1427.0,1271.0,1160.0,1429.0,1436.0,1328.0,1162.0,1351.0,1364.0,1338.0,1314.0,1431.0,1368.0,1400.0,1330.0,1293.0,1185.0,1430.0,1398.0,1354.0
